yob,nkid,dep,phon,sinc,aes,dainc,res,dhval,dmort,doutm,doutl,douthp,doutcc,bad
47,2,0,1,0,"E",0,"U",0,0,0,0,0,0,0
65,0,0,1,0,"P",15000,"P",0,0,0,0,0,0,1
26,0,0,1,0,"P",15600,"O",18464,28000,240,0,0,0,1
47,0,0,1,0,"P",22500,"O",23392,30464,888,0,0,0,1
40,1,0,1,14500,"V",57000,"O",12320,12464,680,0,0,80,0
36,0,0,1,0,"V",16947,"U",0,0,0,0,464,0,0
63,0,0,1,5200,"P",11700,"O",22464,0,540,264,100,160,1
26,0,0,1,0,"R",17400,"O",22464,4,0,0,464,0,0
37,1,0,1,0,"V",51000,"O",36928,8864,712,0,0,0,1
35,0,0,1,0,"P",21000,"O",34464,0,240,0,0,0,0
64,0,0,1,0,"V",18252,"P",0,0,0,0,0,0,0
64,0,0,1,0,"P",12000,"P",0,0,0,0,0,0,0
56,1,0,1,8050,"V",43500,"O",8928,62464,1168,0,56,0,0
56,0,0,1,11300,"P",24000,"O",48928,58464,880,304,0,0,0
42,1,2,1,5040,"P",27000,"O",4928,54464,772,0,0,0,0
64,0,0,1,0,"P",27000,"P",0,0,400,472,0,0,0
31,2,0,1,0,"P",31500,"O",63392,50000,728,0,0,0,0
61,1,0,1,0,"P",31671,"O",12928,928,540,316,0,120,1
47,2,0,1,0,"P",18000,"U",0,0,400,0,0,0,0
56,0,0,1,0,"P",17700,"F",0,0,400,0,0,0,0
49,1,0,1,9600,"P",22500,"O",43392,4928,1440,0,0,160,1
58,0,0,1,0,"P",18000,"O",0,0,400,0,0,0,0
19,0,0,1,0,"R",0,"O",0,0,0,0,0,0,1
51,2,0,1,0,"P",33000,"O",46464,60000,428,132,504,0,0
69,0,0,1,0,"T",4329,"P",0,0,0,0,0,0,0
56,1,0,0,0,"P",24464,"O",56928,56928,1920,0,0,1200,0
67,0,0,1,0,"T",10500,"P",0,0,288,0,0,0,0
29,0,0,0,0,"E",0,"O",0,0,0,0,0,0,0
64,0,0,0,0,"P",16500,"O",26464,26464,668,96,160,0,0
52,2,0,1,0,"P",25500,"O",38464,0,768,0,0,0,0
48,3,0,1,0,"P",464,"O",23392,2464,0,0,0,0,0
62,0,0,1,8000,"P",24000,"O",26464,0,680,0,0,0,0
67,0,0,1,0,"T",6000,"P",0,0,0,0,0,0,0
37,1,0,1,1300,"P",31500,"U",0,0,392,0,152,160,0
53,3,0,1,0,"E",34500,"O",10928,14464,660,0,0,0,0
67,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
38,0,2,1,0,"R",10947,"U",0,0,0,0,0,28,0
51,1,0,1,2000,"P",36000,"O",20928,34464,720,200,0,0,0
55,3,0,1,0,"P",24000,"O",50464,30464,880,0,0,0,0
56,3,0,1,0,"M",55200,"U",0,0,560,200,600,200,0
52,3,0,1,0,"P",19500,"O",60000,4,0,0,0,0,0
65,0,0,1,0,"P",10476,"P",0,0,240,0,80,0,1
50,2,0,0,0,"M",39000,"O",28928,42464,1000,240,0,0,0
19,0,0,1,1209,"R",19761,"U",0,0,340,52,0,0,0
43,1,0,1,0,"P",27000,"U",0,0,360,0,0,0,0
53,2,0,1,0,"V",39132,"O",60928,14464,760,0,0,0,0
64,0,0,1,0,"P",9600,"P",0,0,224,0,0,0,0
53,1,0,1,0,"P",52500,"O",24928,54464,1108,348,0,0,0
66,0,0,1,0,"T",5700,"P",0,0,356,0,0,0,0
41,0,0,1,8000,"P",36000,"O",11392,6588,184,0,0,0,0
50,4,0,1,7000,"P",30000,"O",8928,64000,500,540,0,0,1
51,0,0,1,0,"V",9600,"U",0,0,256,0,0,0,0
37,3,0,1,22500,"P",1964,"O",21248,4,0,1600,0,2400,0
56,0,0,1,0,"P",30000,"O",42464,16464,744,188,0,0,1
27,0,0,1,0,"R",18000,"O",0,0,0,0,0,0,0
59,0,0,1,0,"P",31500,"O",58464,26464,640,0,0,200,1
28,0,0,1,5200,"E",0,"O",43392,4,0,0,0,0,0
51,1,0,0,0,"P",54000,"O",3392,22928,1580,0,0,0,0
48,2,0,1,4200,"P",54000,"O",43392,56000,0,0,1600,0,0
58,0,0,1,0,"P",43500,"O",20928,0,800,0,0,280,1
29,0,0,1,0,"V",60000,"O",0,0,0,0,0,0,0
48,2,0,1,5500,"P",3000,"U",0,0,0,0,0,0,1
48,3,0,1,3000,"P",22500,"F",0,0,408,240,0,0,0
52,3,0,1,0,"V",51900,"U",0,0,1360,480,0,160,0
62,1,0,1,2356,"V",27000,"U",0,0,500,100,340,60,0
64,0,0,1,0,"V",17250,"F",0,0,336,0,0,0,0
50,0,0,1,9473,"V",36000,"O",60928,32464,720,0,0,0,0
30,0,0,1,0,"P",6240,"O",0,0,0,0,0,0,0
66,0,0,1,0,"P",14625,"P",0,0,240,92,160,0,0
65,0,0,1,0,"P",15054,"P",0,0,0,0,0,40,0
55,2,0,1,0,"P",60000,"O",8928,26464,800,0,356,0,0
54,1,0,1,10000,"V",6900,"O",36928,6400,512,76,0,0,0
38,0,0,1,0,"V",32769,"O",2464,0,0,160,0,0,0
33,0,0,0,0,"E",9464,"O",10176,4,0,0,0,0,0
23,0,0,1,0,"R",14400,"O",8928,5440,272,0,0,0,0
51,2,0,1,0,"P",42600,"O",4928,4,0,0,0,0,0
41,3,0,1,1976,"P",17940,"U",0,0,496,124,0,0,0
42,1,0,1,0,"V",17100,"U",0,0,352,432,0,80,0
54,1,2,1,0,"P",30000,"O",38464,14400,212,0,0,0,0
31,0,0,1,0,"P",18750,"U",0,0,0,212,0,0,0
58,0,0,1,0,"V",15300,"F",0,0,480,0,0,0,0
58,0,0,1,0,"P",33600,"P",0,0,0,0,0,120,0
39,0,0,1,0,"W",0,"O",46464,26464,0,0,0,0,1
40,0,0,1,0,"P",48000,"O",52320,28928,0,400,0,0,0
57,2,0,1,0,"V",31500,"O",48928,54464,944,0,0,0,0
40,1,0,1,6000,"E",45000,"O",11392,56000,408,216,0,200,0
38,2,0,1,0,"B",54000,"O",4928,28000,324,640,0,240,1
12,0,0,1,0,"R",0,"U",0,0,276,0,0,0,0
64,0,0,1,0,"P",19500,"P",0,0,400,344,0,0,0
49,3,0,1,0,"P",42000,"N",0,0,0,1080,0,0,1
52,2,0,1,0,"E",22500,"O",34464,4,0,0,0,80,0
57,0,0,1,8500,"V",28200,"O",46464,18464,644,240,520,20,0
67,0,0,1,0,"T",5580,"F",0,0,272,0,0,0,0
58,0,0,1,0,"P",24464,"U",0,0,0,0,0,0,0
67,0,0,1,0,"P",12900,"P",0,0,240,0,0,0,0
56,0,0,1,0,"P",24000,"O",64000,0,400,0,0,120,1
57,0,0,1,0,"P",22500,"P",0,0,0,0,0,0,0
40,0,0,1,8000,"P",15000,"O",24928,56000,416,384,0,0,0
68,0,0,1,0,"T",5703,"F",0,0,400,0,0,0,0
66,0,0,1,0,"T",6600,"P",0,0,400,0,0,0,0
64,0,0,1,0,"P",17739,"F",0,0,320,0,0,0,0
56,1,0,1,0,"P",30000,"O",8928,34464,848,0,128,96,0
59,0,0,1,0,"P",36000,"O",52928,24928,1684,228,208,0,1
57,0,0,1,8200,"P",54000,"O",8320,5856,2400,580,0,0,0
52,4,0,1,0,"P",48000,"O",57856,28928,1296,280,0,200,0
59,1,0,1,0,"V",13500,"O",46464,34464,0,0,0,0,0
52,1,0,1,11500,"W",0,"O",15392,60000,388,0,0,0,0
64,0,0,0,7800,"V",19800,"O",30464,26464,0,0,0,0,0
45,1,1,1,0,"E",18000,"U",0,0,392,0,0,0,0
60,0,0,1,0,"B",22500,"P",0,0,320,320,0,0,0
46,2,0,1,0,"E",45000,"O",28928,1928,1400,920,0,0,0
68,0,0,1,0,"P",8100,"P",0,0,0,0,0,0,0
61,0,0,0,9100,"P",38100,"O",49464,48464,600,0,0,120,0
27,0,0,1,3321,"P",45000,"O",9856,28000,320,608,100,0,1
63,1,0,1,12000,"E",3000,"O",6464,48000,440,0,208,0,0
63,0,0,1,0,"P",12000,"P",0,0,0,0,0,0,0
67,0,0,1,0,"T",7500,"P",0,0,0,0,0,0,0
66,0,0,1,0,"P",16500,"F",0,0,340,0,0,0,0
40,0,0,0,0,"B",60000,"O",37856,34464,0,0,0,0,0
35,2,0,1,0,"P",19500,"O",48928,4800,0,0,0,0,0
59,0,0,1,0,"V",15300,"N",0,0,400,0,0,40,1
60,0,0,1,0,"P",41700,"F",0,0,440,600,0,400,0
37,0,0,1,15000,"W",0,"O",3392,4,0,0,0,0,0
47,0,0,0,0,"E",0,"N",0,0,0,0,0,0,0
44,2,1,1,3000,"P",18000,"O",54464,56000,432,0,0,60,0
63,0,0,1,0,"V",25500,"P",0,0,0,0,0,0,0
64,1,0,1,0,"P",15000,"O",57856,35392,0,0,0,0,0
14,0,0,1,0,"R",9900,"O",54464,4,0,0,0,0,0
35,2,0,1,0,"E",30000,"O",54464,4,0,0,0,0,0
59,0,0,1,0,"P",45000,"O",30464,2464,508,0,40,0,1
52,3,0,1,1040,"P",31200,"O",28464,0,612,196,0,0,1
58,0,0,1,3600,"P",17493,"U",48928,0,0,0,0,0,0
55,0,0,1,0,"P",18000,"U",0,0,0,1000,0,0,0
55,2,0,1,0,"P",45000,"O",32928,928,1360,204,0,40,0
55,2,0,1,1100,"V",40950,"O",8928,26464,744,0,120,80,0
63,0,0,0,0,"T",0,"F",0,0,0,0,0,0,0
63,0,0,1,0,"T",5538,"F",0,0,436,0,0,0,0
48,0,0,1,0,"V",29739,"N",0,0,0,1048,0,0,0
41,0,0,1,12000,"P",18000,"O",18464,40000,116,1128,0,0,0
65,0,0,1,0,"P",13065,"P",0,0,240,0,0,0,0
11,0,0,1,0,"R",0,"N",0,0,0,0,0,0,0
49,4,0,1,0,"V",25484,"O",3392,8928,648,0,0,0,0
15,0,0,1,0,"R",27000,"O",28928,0,0,0,0,0,1
57,1,0,1,0,"E",54000,"O",63392,8928,840,0,0,0,0
62,0,0,1,0,"B",30000,"P",0,0,400,0,0,0,0
64,0,0,0,0,"T",5862,"F",0,0,44,0,0,0,0
48,2,0,1,5000,"P",60000,"O",39104,4,0,0,0,0,0
37,2,0,1,10000,"P",60000,"O",17856,42464,1480,0,0,0,0
52,0,0,1,0,"E",0,"O",0,0,1160,0,0,0,1
66,0,0,1,0,"P",21600,"F",0,0,400,60,0,28,1
18,0,0,1,0,"R",0,"F",0,0,0,0,0,0,1
58,2,0,1,3750,"E",24464,"U",0,0,480,0,0,200,0
62,0,0,1,0,"V",0,"P",0,0,0,0,0,0,1
63,1,0,0,0,"V",27000,"U",0,0,320,152,0,40,0
48,3,0,1,0,"V",31887,"O",18464,18464,732,80,232,0,0
67,0,0,1,0,"T",0,"P",56928,0,0,0,0,0,0
56,0,0,1,9000,"P",8640,"O",36928,30464,820,0,0,0,0
39,1,0,1,10000,"P",52500,"O",57856,60000,680,400,0,0,0
69,0,0,1,0,"V",9000,"P",0,0,0,0,0,0,1
67,0,0,1,0,"T",7200,"F",0,0,380,0,0,0,0
51,0,0,1,5250,"P",14628,"F",0,0,280,0,0,0,0
54,2,0,1,3300,"V",42000,"O",8928,50464,848,0,0,80,0
66,0,0,1,0,"V",19500,"N",0,0,0,0,0,0,0
45,0,0,0,0,"P",22800,"U",0,0,600,0,0,0,0
36,0,0,1,0,"V",15600,"U",0,0,352,0,0,0,0
8,0,0,1,10313,"R",36855,"O",48928,4,0,0,0,0,0
50,2,0,1,0,"P",52500,"O",3392,30464,716,808,260,0,0
63,0,0,1,10000,"P",17160,"O",46464,46464,820,120,0,0,0
48,1,2,1,8512,"P",26802,"U",0,0,440,0,0,0,1
57,0,0,1,0,"P",21000,"U",0,0,60,400,0,100,0
49,2,0,1,0,"V",46917,"O",63392,34464,816,0,0,0,0
46,2,0,1,20000,"P",42000,"O",28928,12000,240,0,0,0,0
60,1,0,1,0,"P",42000,"O",52320,54464,1020,0,0,300,0
44,1,0,1,16000,"V",9696,"O",28928,56000,0,0,0,0,0
56,0,0,1,0,"P",18600,"N",0,0,0,0,0,120,0
44,2,0,1,1600,"E",30000,"N",0,0,200,360,160,0,0
54,3,0,1,0,"E",21000,"U",0,0,384,1040,0,0,0
32,0,0,1,0,"E",0,"O",0,0,0,0,0,0,0
64,0,0,1,0,"V",36000,"P",0,0,0,0,0,0,0
54,1,0,1,0,"P",36000,"O",62464,62464,680,100,0,0,0
62,0,0,0,0,"P",25500,"U",0,0,340,132,0,0,0
37,0,0,1,16600,"V",16497,"O",54464,4,0,0,0,0,0
37,2,1,1,0,"M",12464,"F",0,0,480,0,0,1000,0
65,0,0,1,0,"V",21000,"P",0,0,0,0,0,0,0
9,0,0,1,0,"R",0,"O",60000,0,0,0,0,0,0
24,0,0,1,550,"R",46500,"O",23392,4,0,0,0,0,0
43,2,0,1,30000,"E",37856,"O",10176,54464,0,0,0,0,0
46,2,0,1,0,"P",6464,"O",3392,46000,400,0,0,0,0
64,0,0,0,0,"P",36000,"F",0,0,800,400,0,0,0
34,0,0,1,5500,"P",16500,"O",8928,0,0,0,0,0,0
54,2,0,1,3000,"P",60000,"O",40464,0,1036,0,160,400,0
38,1,1,1,0,"P",25587,"U",0,0,312,0,0,0,1
47,0,0,1,3000,"P",16500,"U",0,0,0,192,40,0,1
69,0,0,1,0,"M",15000,"F",0,0,0,0,0,0,1
25,0,0,1,0,"P",31500,"O",58464,0,0,0,0,0,1
62,0,0,1,0,"V",24327,"O",22464,8896,592,0,0,0,0
65,0,0,1,0,"T",5325,"F",0,0,600,0,0,0,0
30,0,0,1,40000,"R",0,"O",0,0,0,0,0,0,0
48,0,0,1,0,"P",20220,"O",26464,34000,0,668,0,0,1
46,0,0,1,0,"P",30000,"O",48000,12000,160,320,0,0,0
66,0,0,1,0,"P",16200,"P",0,0,0,228,0,0,0
68,0,0,1,0,"T",6900,"P",0,0,0,0,0,0,0
61,0,0,1,13000,"P",0,"O",28928,4,0,0,0,0,1
32,0,0,1,0,"P",35847,"U",0,0,300,0,444,0,0
64,0,0,0,0,"P",19500,"U",0,0,240,208,80,0,0
61,0,0,1,0,"P",26265,"P",0,0,0,0,480,40,0
38,0,0,0,0,"P",0,"N",6784,0,0,0,0,0,0
32,1,0,1,3000,"P",18464,"O",27392,52000,376,580,0,160,0
67,0,0,1,0,"T",0,"P",0,0,0,0,0,0,0
58,0,0,1,0,"P",34956,"O",22464,64000,428,320,0,240,0
60,0,0,1,0,"B",34500,"F",0,0,560,0,0,0,0
35,0,0,1,0,"B",31200,"U",0,0,88,260,0,0,0
38,0,0,1,0,"P",36000,"O",63392,30464,680,948,0,0,0
64,0,0,1,0,"P",19200,"P",0,0,0,320,0,0,0
30,1,0,0,0,"P",34500,"U",0,0,0,472,0,0,1
37,0,2,1,0,"P",37440,"U",0,0,0,0,532,0,0
32,1,0,1,0,"R",0,"F",0,0,0,0,0,0,1
57,0,0,1,0,"V",40500,"O",34464,8464,600,200,0,200,0
21,1,0,0,0,"R",0,"U",0,0,0,0,0,0,1
59,1,0,1,0,"B",17700,"U",0,0,320,0,0,32,0
21,0,0,1,0,"R",0,"O",62464,4,0,0,0,0,0
62,0,0,1,0,"P",24600,"O",46464,14464,624,0,224,0,0
59,0,0,1,0,"V",24300,"O",6464,49000,0,0,0,0,1
47,2,0,1,0,"B",21000,"O",36928,52000,376,0,0,0,1
63,0,0,1,5500,"V",30000,"U",0,0,0,300,80,80,0
48,0,0,0,2000,"P",24000,"O",24928,59796,504,0,0,0,0
33,0,0,1,0,"R",30000,"O",8928,4,0,0,0,0,0
48,1,0,1,0,"P",6464,"O",56928,8928,1480,1000,728,100,0
48,2,0,1,9500,"P",9464,"O",63392,54464,1400,0,0,0,0
46,0,0,1,10800,"P",20250,"U",0,0,0,0,0,0,1
42,0,0,1,0,"V",34947,"O",62464,0,600,100,48,0,1
55,1,0,0,0,"P",12464,"N",0,0,0,0,0,0,0
50,0,0,1,4000,"E",15000,"O",48928,64000,1000,0,0,0,1
37,3,0,1,0,"V",64500,"O",64464,28464,888,0,52,0,0
68,0,0,1,0,"P",9000,"P",0,0,0,0,0,0,0
26,0,0,1,0,"E",15928,"O",37856,4,0,0,0,0,0
38,3,0,1,0,"P",36000,"O",54464,26000,320,0,0,0,0
45,0,0,1,4000,"E",30000,"U",0,0,476,400,0,0,0
58,0,0,1,0,"P",22500,"P",0,0,800,0,0,0,0
62,0,0,1,4056,"P",27000,"O",26464,1396,492,0,0,0,0
55,2,0,1,0,"P",39000,"O",40928,24928,1152,0,0,0,0
36,2,0,1,0,"V",0,"O",30464,7200,224,0,0,0,1
65,1,0,0,6858,"W",0,"F",0,0,352,0,0,80,1
44,3,0,1,0,"P",60000,"O",17856,60000,400,0,0,400,0
53,0,0,1,10200,"P",33000,"O",17856,30464,800,0,0,0,0
51,1,0,1,20000,"P",12600,"O",28928,34464,720,0,0,0,0
58,0,0,1,0,"V",25653,"P",0,0,0,220,0,0,0
63,0,0,1,0,"V",20400,"P",0,0,200,0,0,300,0
69,0,0,1,0,"P",12162,"P",0,0,200,0,0,0,0
44,2,0,1,15000,"P",9000,"O",53392,30464,680,0,0,0,1
50,2,0,1,2671,"V",31260,"O",48928,2464,496,0,0,0,0
48,1,0,1,0,"V",38511,"O",48464,2464,500,0,0,100,0
62,1,0,1,1440,"P",21000,"U",0,0,444,76,116,0,0
51,2,0,1,0,"P",15180,"P",0,0,0,0,0,0,0
59,0,0,1,0,"V",22200,"F",0,0,0,0,0,0,0
68,0,0,1,0,"T",0,"N",0,0,132,0,0,0,0
65,0,0,1,0,"P",15000,"P",0,0,0,0,0,0,0
